table,prompt,field,data_type,mmria_path,
AutopsyReport12AR_COD_grid, Coroner / Medical Examiner Causes of Death," """"",,,
," """"", AR_COD1, System.String,autopsy_report/causes_of_death/cause,
," """"", AR_ICDcode, System.String,autopsy_report/causes_of_death/icd_code,
," """"", AR_CODCom, System.String,autopsy_report/causes_of_death/comment,
," """"", AR_CODType, System.String,autopsy_report/causes_of_death/type,
AutopsyReport11AR_Gross_grid, Gross findings," """"",,,
," """"", AR_Finding, System.String,autopsy_report/relevant_maternal_death_findings/gross_findings/finding,
," """"", AR_FindCom, System.String,autopsy_report/relevant_maternal_death_findings/gross_findings/comment,
AutopsyReport11AR_Micro_grid, Microscopic findings," """"",,,
," """"", AR_MicroFind, System.String,autopsy_report/relevant_maternal_death_findings/microscopic_findings/finding,
," """"", AR_MicroCom, System.String,autopsy_report/relevant_maternal_death_findings/microscopic_findings/comment,
AutopsyReport12AR_Tox_Grid, Toxicology," """"",,,
," """"", AR_Substance, System.String,autopsy_report/toxicology/substance,
," """"", AR_Unit, System.String,autopsy_report/toxicology/unit_of_measure,
," """"", Comments, System.String,autopsy_report/toxicology/comment,
," """"", AR_SubRating, System.String,autopsy_report/toxicology/level,
," """"", AR_SubConcen, System.Double,autopsy_report/toxicology/concentration,
ChildBirthCertificate10PO_CoFD_grid, Causes of fetal death," """"",,,
," """"", Type, System.String,birth_certificate_infant_fetal_section/causes_of_death/type,
," """"", PO_CoFDClass, System.String,birth_certificate_infant_fetal_section/causes_of_death/class,
," """"", PO_CoFDCompSub, System.String,birth_certificate_infant_fetal_section/causes_of_death/complication_subclass,
," """"", PO_CoFDOthr, System.String,birth_certificate_infant_fetal_section/causes_of_death/other_specify,
," """"", PO_CoDICD, System.String,birth_certificate_infant_fetal_section/causes_of_death/icd_code,
CommitteeReview28CR_CDCICDMM_grd, If Pregnancy Related Committee determination of Underlying cause(s) of death*," """"",,,
," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,in MMRIA this is not a grid but a multi-select list
CommitteeReview28CR_CoD_grid, Committee Determination of Cause(s) of Death," """"",,,
," """"", CR_CodeType, System.String,committee_review/committee_determination_of_causes_of_death/type,
," """"", CR_CoD2, System.String,committee_review/committee_determination_of_causes_of_death/cause_descriptive,
," """"", CR_Comm, System.String,committee_review/committee_determination_of_causes_of_death/comments,
CommitteeReview29CR_FactAct_grid, Critical Factors Worksheet," """"",,,
," """"", CR_FactorCat, System.String,committee_review/critical_factors_worksheet/category,
," """"", CR_Factor1, System.String,committee_review/critical_factors_worksheet/class,
," """"", CR_FactorDesc, System.String,committee_review/critical_factors_worksheet/description,
," """"", CR_Action, System.String,committee_review/critical_factors_worksheet/actions,
," """"", CR_Delay, System.String," """"",missing- add between Actions and Prevention fields
," """"", CR_PreventType, System.String,committee_review/critical_factors_worksheet/prevention,
," """"", CR_ImpactLev, System.String,committee_review/critical_factors_worksheet/impact_level,
DeathCertificate4DC_CoD_grid, Causes of Death (enter UNDERLYING cause first)," """"",,,
