OBS,Path,BaseTable,DataTablePath,f.Name,prompttext,ft.Name,DataType,mmria_path,value1,value2,mmria_value,MMRIA Group Name,Comments
1,AutopsyReport11.AR_BMI,AutopsyReport,AutopsyReport11,AR_BMI,BMI,Number,Number,autopsy_report/biometrics/mother/bmi,,,,,
2,AutopsyReport11.AR_Completeness,AutopsyReport,AutopsyReport11,AR_Completeness,Completeness of autopsy information*,Legal Values,Unknown,autopsy_report/completeness_of_autopsy_information,,,(blank),,
3,AutopsyReport11.AR_Completeness,AutopsyReport,AutopsyReport11,AR_Completeness,Completeness of autopsy information*,Legal Values,Unknown,autopsy_report/completeness_of_autopsy_information,Complete,,Complete,,
4,AutopsyReport11.AR_Completeness,AutopsyReport,AutopsyReport11,AR_Completeness,Completeness of autopsy information*,Legal Values,Unknown,autopsy_report/completeness_of_autopsy_information,Minor gaps,,Minor gaps,,
5,AutopsyReport11.AR_Completeness,AutopsyReport,AutopsyReport11,AR_Completeness,Completeness of autopsy information*,Legal Values,Unknown,autopsy_report/completeness_of_autopsy_information,Major gaps,,Major gaps,,
6,AutopsyReport11.AR_Completeness,AutopsyReport,AutopsyReport11,AR_Completeness,Completeness of autopsy information*,Legal Values,Unknown,autopsy_report/completeness_of_autopsy_information,Minimal,,Minimal,,
7,AutopsyReport11.AR_Date,AutopsyReport,AutopsyReport11,AR_Date,Calculated date,Date,Date,,,,,autopsy_report/reporter_characteristics/date_of_autopsy,
8,AutopsyReport11.AR_Date_flag,AutopsyReport,AutopsyReport11,AR_Date_flag,Estimate,Checkbox,Boolean,autopsy_report/reporter_characteristics/date_of_autopsy/is_estimated ,,,,autopsy_report/reporter_characteristics/date_of_autopsy,
9,AutopsyReport11.AR_DDate,AutopsyReport,AutopsyReport11,AR_DDate,Day,Number,Number,autopsy_report/reporter_characteristics/date_of_autopsy/day,,,,,
10,AutopsyReport11.AR_FLength,AutopsyReport,AutopsyReport11,AR_FLength,Fetal length (inches),Number,Number,autopsy_report/biometrics/fetus/fetal_length,,,,,
11,AutopsyReport11.AR_FWgt,AutopsyReport,AutopsyReport11,AR_FWgt,Fetal weight (grams),Number,Number,autopsy_report/biometrics/fetus/fetal_weight,,,,,
12,AutopsyReport11.AR_Gestest,AutopsyReport,AutopsyReport11,AR_Gestest,Estimate of gestational age (weeks),Number,Number,autopsy_report/biometrics/fetus/gestational_age_estimate,,,,,
13,AutopsyReport11.AR_Gross_grid,AutopsyReport,AutopsyReport11,AR_Gross_grid,Gross findings,Grid,Unknown,,,,,,
14,AutopsyReport11.AR_HtFeet,AutopsyReport,AutopsyReport11,AR_HtFeet,Feet,Number,Number,autopsy_report/biometrics/mother/height/feet,,,,,
15,AutopsyReport11.AR_HtInches,AutopsyReport,AutopsyReport11,AR_HtInches,Inches,Number,Number,autopsy_report/biometrics/mother/height/inches,,,,,
16,AutopsyReport11.AR_Jurisdiction,AutopsyReport,AutopsyReport11,AR_Jurisdiction,Jurisdiction,Text,Text,autopsy_report/reporter_characteristics/jurisdiction,,,,,
17,AutopsyReport11.AR_MDate,AutopsyReport,AutopsyReport11,AR_MDate,Month,Number,Number,autopsy_report/reporter_characteristics/date_of_autopsy/month,,,,,
18,AutopsyReport11.AR_Micro_grid,AutopsyReport,AutopsyReport11,AR_Micro_grid,Microscopic findings,Grid,Unknown,,,,,,
19,AutopsyReport11.AR_OthRType,AutopsyReport,AutopsyReport11,AR_OthRType,Other (specify),Text,Text,autopsy_report/reporter_characteristics/other_specify,,,,,
20,AutopsyReport11.AR_RType,AutopsyReport,AutopsyReport11,AR_RType,Reporter Type,Comment Legal,Unknown,autopsy_report/reporter_characteristics/reporter_type,,,(blank),,
21,AutopsyReport11.AR_RType,AutopsyReport,AutopsyReport11,AR_RType,Reporter Type,Comment Legal,Unknown,autopsy_report/reporter_characteristics/reporter_type,1 - Medical examiner,1,Medical Examiner,,
22,AutopsyReport11.AR_RType,AutopsyReport,AutopsyReport11,AR_RType,Reporter Type,Comment Legal,Unknown,autopsy_report/reporter_characteristics/reporter_type,2 - Coroner,2,Coroner,,
23,AutopsyReport11.AR_RType,AutopsyReport,AutopsyReport11,AR_RType,Reporter Type,Comment Legal,Unknown,autopsy_report/reporter_characteristics/reporter_type,3 - Other,3,Other,,
24,AutopsyReport11.AR_RType,AutopsyReport,AutopsyReport11,AR_RType,Reporter Type,Comment Legal,Unknown,autopsy_report/reporter_characteristics/reporter_type,4 - Unknown,4,Unknown,,
25,AutopsyReport11.AR_RType,AutopsyReport,AutopsyReport11,AR_RType,Reporter Type,Comment Legal,Unknown,autopsy_report/reporter_characteristics/reporter_type,9 - Not specificed,9,Not Specified,,
26,AutopsyReport11.AR_Weight,AutopsyReport,AutopsyReport11,AR_Weight,Weight (pounds),Number,Number,autopsy_report/biometrics/mother/weight,,,,,
27,AutopsyReport11.AR_Where,AutopsyReport,AutopsyReport11,AR_Where,Was an autopsy performed?*,Legal Values,Unknown,autopsy_report/was_autopsy_performed,,,(blank),,
28,AutopsyReport11.AR_Where,AutopsyReport,AutopsyReport11,AR_Where,Was an autopsy performed?*,Legal Values,Unknown,autopsy_report/was_autopsy_performed,Referred / Performed / Available,,Referred/Performed/Available,,
29,AutopsyReport11.AR_Where,AutopsyReport,AutopsyReport11,AR_Where,Was an autopsy performed?*,Legal Values,Unknown,autopsy_report/was_autopsy_performed,Referred / Performed / Not available,,Referred/Performed/Not available,,
30,AutopsyReport11.AR_Where,AutopsyReport,AutopsyReport11,AR_Where,Was an autopsy performed?*,Legal Values,Unknown,autopsy_report/was_autopsy_performed,Referred / Not performed,,Referred/Not performed,,
31,AutopsyReport11.AR_Where,AutopsyReport,AutopsyReport11,AR_Where,Was an autopsy performed?*,Legal Values,Unknown,autopsy_report/was_autopsy_performed,Not referred,,Not Referred,,
32,AutopsyReport11.AR_YDate,AutopsyReport,AutopsyReport11,AR_YDate,Year,Number,Number,autopsy_report/reporter_characteristics/date_of_autopsy/year,,,,,
33,AutopsyReport12.AR_COD_grid,AutopsyReport,AutopsyReport12,AR_COD_grid,Coroner / Medical Examiner Causes of Death,Grid,Unknown,,,,,,
34,AutopsyReport12.AR_ICDver,AutopsyReport,AutopsyReport12,AR_ICDver,ICD code version,Number,Number,autopsy_report/icd_code_version,,,,,
35,AutopsyReport12.AR_Notes,AutopsyReport,AutopsyReport12,AR_Notes,Reviewer's notes about the Autopsy Report,Multiline,Text,autopsy_report/reviewer_note,,,,,
36,AutopsyReport12.AR_PosTox,AutopsyReport,AutopsyReport12,AR_PosTox,Was toxicology positive for drugs?*,Legal Values,Unknown,autopsy_report/was_drug_toxicology_positive,,,(blank),,
37,AutopsyReport12.AR_PosTox,AutopsyReport,AutopsyReport12,AR_PosTox,Was toxicology positive for drugs?*,Legal Values,Unknown,autopsy_report/was_drug_toxicology_positive,Yes,,Yes,,
38,AutopsyReport12.AR_PosTox,AutopsyReport,AutopsyReport12,AR_PosTox,Was toxicology positive for drugs?*,Legal Values,Unknown,autopsy_report/was_drug_toxicology_positive,No,,No,,
39,AutopsyReport12.AR_PosTox,AutopsyReport,AutopsyReport12,AR_PosTox,Was toxicology positive for drugs?*,Legal Values,Unknown,autopsy_report/was_drug_toxicology_positive,Not done,,Not done,,
40,AutopsyReport12.AR_PosTox,AutopsyReport,AutopsyReport12,AR_PosTox,Was toxicology positive for drugs?*,Legal Values,Unknown,autopsy_report/was_drug_toxicology_positive,"Done, but not available",,"Done, but not available",,
41,AutopsyReport12.AR_Tox_Grid,AutopsyReport,AutopsyReport12,AR_Tox_Grid,Toxicology,Grid,Unknown,,,,,,
42,ChildBirthCertificate10.PO_Anenceph,ChildBirthCertificate,ChildBirthCertificate10,PO_Anenceph,Anencephaly,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Anencephaly,,Anencephaly,,
43,ChildBirthCertificate10.PO_CDconfirm,ChildBirthCertificate,ChildBirthCertificate10,PO_CDconfirm,Karyotype confirmed,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Karyotype confirmed,,Karyotype confirmed - Suspected chromosomal disorder,,
44,ChildBirthCertificate10.PO_CDpend,ChildBirthCertificate,ChildBirthCertificate10,PO_CDpend,Karyotype pending,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Karyotype pending,,Karyotype pending - Suspected chromosomal disorder,,
45,ChildBirthCertificate10.PO_ChromDis,ChildBirthCertificate,ChildBirthCertificate10,PO_ChromDis,Suspected chromosomal disorder,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Suspected chromosomal disorder,,Suspected chromosomal disorder,,
46,ChildBirthCertificate10.PO_CleftLip,ChildBirthCertificate,ChildBirthCertificate10,PO_CleftLip,Cleft Lip with or without Cleft Palate,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Cleft Lip with or without Cleft Palate,,Cleft Lip with or without Cleft Palate,,
47,ChildBirthCertificate10.PO_CleftPal,ChildBirthCertificate,ChildBirthCertificate10,PO_CleftPal,Cleft palate alone,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Cleft palate alone,,Cleft palate alone,,
48,ChildBirthCertificate10.PO_CoFD_grid,ChildBirthCertificate,ChildBirthCertificate10,PO_CoFD_grid,Causes of fetal death,Grid,Unknown,,,,,,
49,ChildBirthCertificate10.PO_CongAnNS,ChildBirthCertificate,ChildBirthCertificate10,PO_CongAnNS,Congenital anomalies not specified,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Congenital anomalies not specified,,Congenital anomalies not specified,,
50,ChildBirthCertificate10.PO_CongHeartD,ChildBirthCertificate,ChildBirthCertificate10,PO_CongHeartD,Cyanotic congenital heart disease,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Cyanotic congenital heart disease,,Cyanotic congenital heart disease,,
51,ChildBirthCertificate10.PO_DiaphrHern,ChildBirthCertificate,ChildBirthCertificate10,PO_DiaphrHern,Congenital diaphragmatic hernia,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Congenital diaphragmatic hernia,,Congenital diaphragmatic hernia,,
52,ChildBirthCertificate10.PO_Downs,ChildBirthCertificate,ChildBirthCertificate10,PO_Downs,Downs Syndrome,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Downs Syndrome,,Downs Syndrome,,
53,ChildBirthCertificate10.PO_DSConfirm,ChildBirthCertificate,ChildBirthCertificate10,PO_DSConfirm,Karyotype confirmed,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Karyotype confirmed,,Karyotype confirmed - Downs Syndrome,,
54,ChildBirthCertificate10.PO_DSPending,ChildBirthCertificate,ChildBirthCertificate10,PO_DSPending,Karyotype pending,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Karyotype pending,,Karyotype pending - Downs Syndrome,,
55,ChildBirthCertificate10.PO_Gastroschis,ChildBirthCertificate,ChildBirthCertificate10,PO_Gastroschis,Gastroschisis,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Gastroschisis,,Gastroschisis,,
56,ChildBirthCertificate10.PO_Hypospad,ChildBirthCertificate,ChildBirthCertificate10,PO_Hypospad,Hypospadias,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Hypospadias,,Hypospadias,,
57,ChildBirthCertificate10.PO_ICDver,ChildBirthCertificate,ChildBirthCertificate10,PO_ICDver,ICD version,Text,Text,birth_certificate_infant_fetal_section/icd_version,,,,,
58,ChildBirthCertificate10.PO_LimbRed,ChildBirthCertificate,ChildBirthCertificate10,PO_LimbRed,"Limb reduction defect (excluding 
congenital amputation and dwarfing 
syndromes)",Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,"Limb reduction defect (excluding 
congenital amputation and dwarfing 
syndromes)",,Limb reduction defect (excluding congenital amputation and dwarfing syndromes),,
59,ChildBirthCertificate10.PO_NoCongenAn,ChildBirthCertificate,ChildBirthCertificate10,PO_NoCongenAn,None of the above,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,None of the above,,None of the above,,
60,ChildBirthCertificate10.PO_Omphalocele,ChildBirthCertificate,ChildBirthCertificate10,PO_Omphalocele,Omphalocele,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Omphalocele,,Omphalocele,,
61,ChildBirthCertificate10.PO_RevNotes,ChildBirthCertificate,ChildBirthCertificate10,PO_RevNotes,Reviewer's notes about this newborn or fetal death,Multiline,Text,birth_certificate_infant_fetal_section/reviewer_note,,,,,
62,ChildBirthCertificate10.PO_SpinaBif,ChildBirthCertificate,ChildBirthCertificate10,PO_SpinaBif,Meningomyelocele/Spina bifida,Checkbox,Boolean,birth_certificate_infant_fetal_section/congenital_anomalies,Meningomyelocele/Spina bifida,,Meningomyelocele or Spina bifida,,
63,ChildBirthCertificate9.PO_AbCondNS,ChildBirthCertificate,ChildBirthCertificate9,PO_AbCondNS,Abnormal conditions not specified,Checkbox,Boolean,birth_certificate_infant_fetal_section/abnormal_conditions_of_newborn,Abnormal conditions not specified,,Abnormal conditions not specified,,
64,ChildBirthCertificate9.PO_Alive,ChildBirthCertificate,ChildBirthCertificate9,PO_Alive,Is infant living at time of report?,Comment Legal,Unknown,birth_certificate_infant_fetal_section/biometrics_and_demographics/is_infant_living_at_time_of_report,,,(blank),,
65,ChildBirthCertificate9.PO_Alive,ChildBirthCertificate,ChildBirthCertificate9,PO_Alive,Is infant living at time of report?,Comment Legal,Unknown,birth_certificate_infant_fetal_section/biometrics_and_demographics/is_infant_living_at_time_of_report,1,1 - Yes,Yes,,
66,ChildBirthCertificate9.PO_Alive,ChildBirthCertificate,ChildBirthCertificate9,PO_Alive,Is infant living at time of report?,Comment Legal,Unknown,birth_certificate_infant_fetal_section/biometrics_and_demographics/is_infant_living_at_time_of_report,2,2 - No,No,,
67,ChildBirthCertificate9.PO_Alive,ChildBirthCertificate,ChildBirthCertificate9,PO_Alive,Is infant living at time of report?,Comment Legal,Unknown,birth_certificate_infant_fetal_section/biometrics_and_demographics/is_infant_living_at_time_of_report,3,"3 - Infant transferred, status unknown","Infant transferred, status unknown",,
68,ChildBirthCertificate9.PO_Alive,ChildBirthCertificate,ChildBirthCertificate9,PO_Alive,Is infant living at time of report?,Comment Legal,Unknown,birth_certificate_infant_fetal_section/biometrics_and_demographics/is_infant_living_at_time_of_report,9,9 - Not specified,Not specified,,
69,ChildBirthCertificate9.PO_Antibiotics,ChildBirthCertificate,ChildBirthCertificate9,PO_Antibiotics,"Antibiotics received by the newborn 
for suspected neonatal sepsis",Checkbox,Boolean,birth_certificate_infant_fetal_section/abnormal_conditions_of_newborn,"Antibiotics received by the newborn 
for suspected neonatal sepsis",,Antibiotics received by the newborn for suspected neonatal sepsis,,
70,ChildBirthCertificate9.PO_APGAR10,ChildBirthCertificate,ChildBirthCertificate9,PO_APGAR10,10 minute,Number,Number,birth_certificate_infant_fetal_section/biometrics_and_demographics/apgar_scores/minute_10,,,,,
71,ChildBirthCertificate9.PO_APGAR5,ChildBirthCertificate,ChildBirthCertificate9,PO_APGAR5,5 minute,Number,Number,birth_certificate_infant_fetal_section/biometrics_and_demographics/apgar_scores/minute_5,,,,,
