table,prompt,field,data_type,mmria_path,
AutopsyReport12AR_COD_grid, Coroner / Medical Examiner Causes of Death," """"",,,
AutopsyReport12AR_COD_grid," """"", AR_COD1, System.String,autopsy_report/causes_of_death/cause,
AutopsyReport12AR_COD_grid," """"", AR_ICDcode, System.String,autopsy_report/causes_of_death/icd_code,
AutopsyReport12AR_COD_grid," """"", AR_CODCom, System.String,autopsy_report/causes_of_death/comment,
AutopsyReport12AR_COD_grid," """"", AR_CODType, System.String,autopsy_report/causes_of_death/type,
AutopsyReport11AR_Gross_grid, Gross findings," """"",,,
AutopsyReport11AR_Gross_grid," """"", AR_Finding, System.String,autopsy_report/relevant_maternal_death_findings/gross_findings/finding,
AutopsyReport11AR_Gross_grid," """"", AR_FindCom, System.String,autopsy_report/relevant_maternal_death_findings/gross_findings/comment,
AutopsyReport11AR_Micro_grid, Microscopic findings," """"",,,
AutopsyReport11AR_Micro_grid," """"", AR_MicroFind, System.String,autopsy_report/relevant_maternal_death_findings/microscopic_findings/finding,
AutopsyReport11AR_Micro_grid," """"", AR_MicroCom, System.String,autopsy_report/relevant_maternal_death_findings/microscopic_findings/comment,
AutopsyReport12AR_Tox_Grid, Toxicology," """"",,,
AutopsyReport12AR_Tox_Grid," """"", AR_Substance, System.String,autopsy_report/toxicology/substance,
AutopsyReport12AR_Tox_Grid," """"", AR_Unit, System.String,autopsy_report/toxicology/unit_of_measure,
AutopsyReport12AR_Tox_Grid," """"", Comments, System.String,autopsy_report/toxicology/comment,
AutopsyReport12AR_Tox_Grid," """"", AR_SubRating, System.String,autopsy_report/toxicology/level,
AutopsyReport12AR_Tox_Grid," """"", AR_SubConcen, System.Double,autopsy_report/toxicology/concentration,
ChildBirthCertificate10PO_CoFD_grid, Causes of fetal death," """"",,,
ChildBirthCertificate10PO_CoFD_grid," """"", Type, System.String,birth_certificate_infant_fetal_section/causes_of_death/type,
ChildBirthCertificate10PO_CoFD_grid," """"", PO_CoFDClass, System.String,birth_certificate_infant_fetal_section/causes_of_death/class,
ChildBirthCertificate10PO_CoFD_grid," """"", PO_CoFDCompSub, System.String,birth_certificate_infant_fetal_section/causes_of_death/complication_subclass,
