table,prompt,field,data_type,mmria_path
AutopsyReport12AR_COD_grid, Coroner / Medical Examiner Causes of Death, ""
"", "", AR_COD1, System.String, ""
"", "", AR_ICDcode, System.String, ""
"", "", AR_CODCom, System.String, ""
"", "", AR_CODType, System.String, ""
AutopsyReport11AR_Gross_grid, Gross findings, ""
"", "", AR_Finding, System.String, ""
"", "", AR_FindCom, System.String, ""
AutopsyReport11AR_Micro_grid, Microscopic findings, ""
"", "", AR_MicroFind, System.String, ""
"", "", AR_MicroCom, System.String, ""
AutopsyReport12AR_Tox_Grid, Toxicology, ""
"", "", AR_Substance, System.String, ""
"", "", AR_Unit, System.String, ""
"", "", Comments, System.String, ""
"", "", AR_SubRating, System.String, ""
"", "", AR_SubConcen, System.Double, ""
ChildBirthCertificate10PO_CoFD_grid, Causes of fetal death, ""
"", "", Type, System.String, ""
"", "", PO_CoFDClass, System.String, ""
"", "", PO_CoFDCompSub, System.String, ""
"", "", PO_CoFDOthr, System.String, ""
"", "", PO_CoDICD, System.String, ""
CommitteeReview28CR_CDCICDMM_grd, If Pregnancy Related Committee determination of Underlying cause(s) of death*, ""
"", "", CR_CDCMMCode, System.String, ""
CommitteeReview28CR_CoD_grid, Committee Determination of Cause(s) of Death, ""
"", "", CR_CodeType, System.String, ""
"", "", CR_CoD2, System.String, ""
"", "", CR_Comm, System.String, ""
CommitteeReview29CR_FactAct_grid, Critical Factors Worksheet, ""
"", "", CR_FactorCat, System.String, ""
"", "", CR_Factor1, System.String, ""
"", "", CR_FactorDesc, System.String, ""
"", "", CR_Action, System.String, ""
"", "", CR_Delay, System.String, ""
"", "", CR_PreventType, System.String, ""
"", "", CR_ImpactLev, System.String, ""
DeathCertificate4DC_CoD_grid, Causes of Death (enter UNDERLYING cause first), ""
"", "", DC_ICD, System.String, ""
"", "", DC_CoDInterval, System.Double, ""
"", "", DC_CoDUnit, System.String, ""
"", "", DC_CoDType, System.String, ""
"", "", DC_CoDCause, System.String, ""
Hospitalization22MR_Anesth_grid, Anesthesia, ""
"", "", MR_ANesthMeth, System.String, ""
"", "", MR_AnesthCompl, System.String, ""
"", "", MR_AnesthDate, System.DateTime, ""
Hospitalization22MR_BA_grid, Birth attendant(s), ""
"", "", MR_BATitle, System.String, ""
"", "", MR_BAOther, System.String, ""
"", "", MR_BANPI, System.String, ""
Hospitalization23MR_BB_grid, Were there any blood or blood product transfusions?, ""
"", "", MR_BBProduct, System.String, ""
"", "", MR_BBNUnits, System.String, ""
"", "", MR_BBReacComp, System.String, ""
"", "", MR_BBDate, System.DateTime, ""
Hospitalization20MR_ITran_grid, Internal Transfers, ""
"", "", MR_ITranDate, System.DateTime, ""
"", "", MR_ITranFromU, System.String, ""
"", "", MR_ITranToU, System.String, ""
"", "", MR_ITransComm, System.String, ""
Hospitalization21MR_Lab_grid, Laboratory tests, ""
"", "", MR_LabSpec, System.String, ""
"", "", MR_LabTest, System.String, ""
"", "", MR_LabResult, System.String, ""
"", "", MR_LabDiagLev, System.String, ""
"", "", MR_LabFlag, System.String, ""
"", "", MR_LabDate, System.DateTime, ""
Hospitalization23MR_Meds_grid, List of medications, ""
"", "", MR_MedsName, System.String, ""
"", "", MR_MedsDUFD, System.String, ""
"", "", MR_MedsAReact, System.String, ""
"", "", MR_MedsDate, System.DateTime, ""
Hospitalization21MR_MExam_grid, Psychological examinations and assessments, ""
"", "", MR_MExamAssess, System.String, ""
"", "", MR_MExamFind, System.String, ""
"", "", MR_MExamBy, System.String, ""
"", "", MR_MExamDate, System.DateTime, ""
Hospitalization21MR_Path_grid, Pathology, ""
"", "", MR_PathSpec, System.String, ""
"", "", MR_PathEType, System.String, ""
"", "", MR_PathFind, System.String, ""
"", "", MR_PathDate, System.DateTime, ""
Hospitalization21MR_PExam_grid, Physical examinations and evaluations, ""
"", "", MR_PExamFind, System.String, ""
"", "", MR_PExamBy, System.String, ""
"", "", MR_ExamExEv, System.String, ""
"", "", MR_PExamDate, System.DateTime, ""
Hospitalization24MR_RF_grid, Referrals and consultations, ""
"", "", MR_RFDate, System.DateTime, ""
"", "", MR_RFReas, System.String, ""
"", "", MR_RFRecommend, System.String, ""
"", "", MR_RFSpecialty, System.String, ""
Hospitalization23MR_Surg_grid, Were there any surgical procedures?, ""
"", "", MR_SurgHUnit, System.String, ""
"", "", MR_SurgProc, System.String, ""
"", "", MR_SurgBy, System.String, ""
"", "", MR_SurgOutcome, System.String, ""
"", "", MR_SurgDate, System.DateTime, ""
Hospitalization23MR_Techn_grid, Diagnostic imaging and other technology, ""
"", "", MR_TechnTarget, System.String, ""
"", "", MR_TechnFind, System.String, ""
"", "", MR_TechnType, System.String, ""
"", "", MR_TechnDate, System.DateTime, ""
Hospitalization22MR_Vitalsigns_grid, Vital signs, ""
"", "", MR_VSSystolic, System.Double, ""
"", "", MR_VSPulse, System.Double, ""
"", "", MR_VSRespir, System.Double, ""
"", "", MR_VSTemp, System.Double, ""
"", "", MR_VSDiastolic, System.Double, ""
"", "", MR_VSDate, System.DateTime, ""
OfficeVisits25MV_FamHist_grid, Relevant Family History, ""
"", "", MV_FHCom, System.String, ""
"", "", MV_FHFind, System.String, ""
OfficeVisits26MV_Lab_grid, Laboratory tests, ""
"", "", MV_LabSpec, System.String, ""
"", "", MV_LabTest, System.String, ""
"", "", MV_LabResult, System.String, ""
"", "", MV_LabDiagLev, System.String, ""
"", "", MV_LabFlag, System.String, ""
